ADJ ACC INAN PL г р у н т о в ы й	г р у н т о в ы е	г р у н т о в ы е
ADJ INS PL п у т и н с к и й	п у т и н с к и м и	п у т и н с к и м и
N DAT SG т р е т ь е л и ц о	т р е т ь е м у л и ц у	т р е т ь е л и ц у
V PST SG MASC п о в ы с и т ь	п о в ы с и л	п о в ы с и л
N INS SG з а б л у ж д е н и е	з а б л у ж д е н и е м	з а б л у ж д е н и е м
ADJ ESS PL и с к о м ы й	и с к о м ы х	и с к о м ы х
V FUT 3 SG н е д о п и т ь	н е д о п ь е т	б у д е т н е д о п и т ь
ADJ INAN ACC MASC SG т о к с и ч н ы й	т о к с и ч н ы й	т о к с и ч н ы й
V PRS 3 PL ф и г у р и р о в а т ь	ф и г у р и р у ю т	ф и г у р и р у ю т
V FUT 2 PL о т п е р е т ь	о т о п р е т е	о т п р е т е
V PRS 2 PL ч и р к а т ь	ч и р к а е т е	ч и р к а е т е
V PST SG MASC п о р о ш и т ь	п о р о ш и л	п о р о ш и л
ADJ INAN ACC MASC SG ц е л е б н ы й	ц е л е б н ы й	ц е л е б н ы й
ADJ GEN NEUT SG в з а и м о в ы г о д н ы й	в з а и м о в ы г о д н о г о	в з а и м о в ы г о д н о г о
N NOM SG д о м о в о й	д о м о в о й	д о м о в о й
V FUT 1 PL у к а т а т ь	у к а т а е м	б у д е м у к а т а т ь
V.PTCP PASS PRS м о б и л и з о в а т ь	м о б и л и з у е м ы й	м о б и л и з у е м ы й
N DAT SG с ы ч	с ы ч у	с ы ч у
ADJ ESS NEUT SG б е з н а д ё ж н ы й	б е з н а д ё ж н о м	б е з н а д ё ж н о м
N ESS PL п о к у ш е н и е	п о к у ш е н и я х	п о к у ш е н и я х
V PST SG NEUT д о п и в а т ь	д о п и в а л о	д о п и в а л о
V PRS 3 SG с г л а т ы в а т ь	с г л а т ы в а е т	с г л а т ы в а е т
N INS SG п е р е и м е н о в а н и е	п е р е и м е н о в а н и е м	п е р е и м е н о в а н и е м
ADJ ACC NEUT SG ж и з н е н н ы й	ж и з н е н н о е	ж и з н е н н о е
ADJ NOM NEUT SG в и н о д е л ь ч е с к и й	в и н о д е л ь ч е с к о е	в и н о д е л ь ч е с к о е
V.PTCP ACT PST р а з б р е с т и с ь	р а з б р е д ш и й с я	р а з б р е с ш и й с я
ADJ INS PL п р и г о т о в л е н н ы й	п р и г о т о в л е н н ы м и	п р и г о т о в л е н н ы м и
N ESS PL г о р л и ц а	г о р л и ц а х	г о р л и ц а х
ADJ ACC INAN PL с т а в р о п о л ь с к и й	с т а в р о п о л ь с к и е	с т а в р о п о л ь с к и е
ADJ DAT NEUT SG п о л у п е ч а л ь н ы й	п о л у п е ч а л ь н о м у	п о л у п е ч а л ь н о м у
ADJ MASC SG LGSPEC1 ф о т о г е н и ч н ы й	ф о т о г е н и ч е н	ф о т о г е н и ч е н
N NOM PL м о л е б е н	м о л е б н ы	м о л е б е н ы
ADJ ESS PL д е р е в о о б р а б а т ы в а ю щ и й	д е р е в о о б р а б а т ы в а ю щ и х	д е р е в о о б р а б а т ы в а ю щ и х
ADJ NOM MASC SG п р о н и к н у т ы й	п р о н и к н у т ы й	п р о н и к н у т ы й
N GEN PL у н и я	у н и й	у н и й
ADJ ANIM ACC MASC SG т е х а с с к и й	т е х а с с к о г о	т е х а с с к о г о
N ACC PL и д и л л и я	и д и л л и и	и д и л л и и
ADJ INS PL в а т н ы й	в а т н ы м и	в а т н ы м и
N ACC SG л е й к о з	л е й к о з	л е й к о з
ADJ GEN MASC SG с т а р о с л а в я н с к и й	с т а р о с л а в я н с к о г о	с т а р о с л а в я н с к о г о
N GEN PL н е с т о р и а н с т в о	н е с т о р и а н с т в	н е с т о р и а н с т в
V PST SG FEM т р е н и р о в а т ь	т р е н и р о в а л а	т р е н и р о в а л а
V FUT 1 SG з а д а т ь с я	з а д а м с я	з а д а н у с ь
V PRS 3 PL х о з я й н и ч а т ь	х о з я й н и ч а ю т	х о з я й н и ч а ю т
N GEN PL и с л а н д к а	и с л а н д о к	и с л а н д о к
ADJ GEN FEM SG а н т и в о е н н ы й	а н т и в о е н н о й	а н т и в о е н н о й
ADJ NEUT SG LGSPEC1 п е р в и ч н ы й	п е р в и ч н о	п е р в и ч н о
N INS SG а в а н п о с т	а в а н п о с т о м	а в а н п о с т о м
N ESS SG н а н е с е н и е	н а н е с е н и и	н а н е с е н и и
N ACC SG с к у л ь п т у р а	с к у л ь п т у р у	с к у л ь п т у р у
ADJ FEM SG LGSPEC1 о д у ш е в л ё н н ы й	о д у ш е в л ё н н а	о д у ш е в л ё н н а
N DAT PL п л е м я ш	п л е м я ш а м	п л е м я ш а м
ADJ ACC INAN PL т и п о г р а ф с к и й	т и п о г р а ф с к и е	т и п о г р а ф с к и е
V IMP 2 PL з а ж а т ь	з а ж м и т е	з а ж а г т е
N DAT PL ш в е д к а	ш в е д к а м	ш в е д к а м
N GEN PL к и т а ё з а	к и т а ё з	к и т а ё з
N ACC SG г и л ь	г и л ь	г и л ь
ADJ INS PL н е д а в н и й	н е д а в н и м и	н е д а в н и м и
N NOM SG к р е м д л я р у к	к р е м д л я р у к	к р е м о л я р у к
N ACC SG к а п и т а н	к а п и т а н а	к а п и т а н
N ACC PL с о т н и к	с о т н и к о в	с о т н и к и
ADJ ACC FEM SG и с л а м с к и й	и с л а м с к у ю	и с л а м с к у ю
V FUT 1 SG п о п ы х и в а т ь	б у д у п о п ы х и в а т ь	б у д у п о п ы х и в а т ь
N INS PL и с т о к	и с т о к а м и	и с т к а м и
ADJ DAT NEUT SG а м и н о к и с л о т н ы й	а м и н о к и с л о т н о м у	а м и н о к и с л о т н о м у
N GEN SG л е г к о а т л е т	л е г к о а т л е т а	л е г к о а т л е т а
N NOM SG к о р е я н к а	к о р е я н к а	к о р е я н к а
N DAT SG а м у н и ц и я	а м у н и ц и и	а м у н и ц и и
V NFIN в р а т ь	в р а т ь	в р а т ь
V PRS 1 PL м а с к и р о в а т ь с я	м а с к и р у е м с я	м а с к и р у е м с я
N ESS PL т е л е к а м е р а	т е л е к а м е р а х	т е л е к а м е р а х
V FUT 2 SG о г р ы з а т ь с я	б у д е ш ь о г р ы з а т ь с я	б у д е ш ь о г р ы з а т ь с я
N NOM PL з а т ы ч к а	з а т ы ч к и	з а т ы ч к и
N GEN PL а з и к	а з и к о в	а з и к о в
N INS PL в а ш е б л а г о р о д и е	в а ш и м и б л а г о р о д и я м и	в а ш е б л а г о р о д и я м и
ADJ INS NEUT SG о п е р н ы й	о п е р н ы м	о п е р н ы м
N ACC SG э с м и н е ц	э с м и н е ц	э с м и н ц а
V FUT 1 PL у х и т р и т ь с я	у х и т р и м с я	у х и т р и т с я
ADJ PL LGSPEC1 б е с п р е ц е д е н т н ы й	б е с п р е ц е д е н т н ы	б е с п р е ц е д е н т н ы
N INS PL б э к г р а у н д	б э к г р а у н д а м и	б э к г р а у н д а м и
N INS SG б у л ь б о у р е т р а л ь н а я ж е л е з а	б у л ь б о у р е т р а л ь н о й ж е л е з о й	б у л ь б о у р е т р а л ь н о й ж е л е з о й
V FUT 1 SG п р о в е т р и т ь	п р о в е т р ю	п р о в е т р у
N DAT PL о с к о р б л е н и е	о с к о р б л е н и я м	о с к о р б л е н и я м
ADJ INS PL е д и н о в р е м е н н ы й	е д и н о в р е м е н н ы м и	е д и н о в р е м е н н ы м и
V FUT 2 PL в д а в и т ь	в д а в и т е	в д а в и т е
ADJ NEUT SG LGSPEC1 к р я к н у т ы й	к р я к н у т о	к р я к н у т о
V PRS 1 PL в ы п у с к а т ь с я	в ы п у с к а е м с я	в ы п у с к а е м с я
V.PTCP GEN FEM SG н а с т о р о ж ё н н ы й	н а с т о р о ж ё н н о й	н а с т о р о ж ё н н о й
N GEN SG ф а р м а к о л о г и я	ф а р м а к о л о г и и	ф а р м а к о л о г и и
ADJ ANIM ACC MASC SG о з а б о ч е н н ы й	о з а б о ч е н н о г о	о з а б о ч е н н о г о
V PRS 1 PL с н а б ж а т ь	с н а б ж а е м	с н а б ж а е м
ADJ DAT PL б е с с т ы ж и й	б е с с т ы ж и м	б е с с т ы ж и м
V PST SG NEUT х а л т у р и т ь	х а л т у р и л о	х а л т у р и л о
ADJ FEM SG LGSPEC1 н е з а в и с и м ы й	н е з а в и с и м а	н е з а в и с и м а
ADJ ACC INAN PL н е п р и к р ы т ы й	н е п р и к р ы т ы е	н е п р и к р ы т ы е
N INS SG а в т о к а н н и б а л и з м	а в т о к а н н и б а л и з м о м	а в т о к а н н и б а л и з м о м
V FUT 1 PL з а ш и п е т ь	з а ш и п и м	з а ш и п и м
ADJ DAT FEM SG п л а ч е в н ы й	п л а ч е в н о й	п л а ч е в н о й
ADJ ACC INAN PL м а л я р и й н ы й	м а л я р и й н ы е	м а л я р и й н ы е
N ESS PL т а х т а	т а х т а х	т а х т а х
V.CVB PRS н а б л ю д а т ь с я	н а б л ю д а я с ь	н а б л ю д а я с ь
ADJ DAT PL т ё м н о - с и н и й	т ё м н о - с и н и м	т ё м н о - с и н и м
V.CVB PST п е р е в е р н у т ь с я	п е р е в е р н у в ш и с ь	п е р е в е р н у в ш и с ь
N INS SG ш н а п с	ш н а п с о м	ш н а п с о м
N DAT PL ф и ш к а	ф и ш к а м	ф и ш к а м
N NOM SG ш у б к а	ш у б к а	ш у б к а
ADJ ACC ANIM PL а п о с т о л ь с к и й	а п о с т о л ь с к и х	а п о с т о л ь с к и х
N INS PL с и к в е л	с и к в е л а м и	с и к в е л а м и
ADJ ESS PL н е к о р р е к т н ы й	н е к о р р е к т н ы х	н е к о р р е к т н ы х
V FUT 1 SG у п р о щ а т ь	б у д у у п р о щ а т ь	б у д у у п р о щ а т ь
N NOM SG с п л е т н и к	с п л е т н и к	с п л е т н и к
ADJ ESS PL к л а д о в о й	к л а д о в ы х	к л а д о в ы х
ADJ GEN FEM SG н е е с т е с т в е н н ы й	н е е с т е с т в е н н о й	н е е с т е с т в е н н о й
V PRS 2 PL в е р о в а т ь	в е р у е т е	в е р у е т е
V PRS 2 PL з л и т ь	з л и т е	з л и т е
ADJ ESS PL л о б о в о й	л о б о в ы х	л о б о в ы х
N DAT SG в е р о и с п о в е д а н и е	в е р о и с п о в е д а н и ю	в е р о и с п о в е д а н и ю
N ACC SG н а ц и о н а л и с т	н а ц и о н а л и с т а	н а ц и о н а л и с т а
V PRS 3 PL м е ш а т ь с я	м е ш а ю т с я	м е ш а ю т с я
N ACC PL п о с л о в и ц а	п о с л о в и ц ы	п о с л о в и ц ы
N NOM SG п о д п о л к о в н и к	п о д п о л к о в н и к	п о д п о л к о в н и к
N ESS SG у н т е р - о ф и ц е р	у н т е р - о ф и ц е р е	у н т е р - о ф и ц е р е
V FUT 2 PL с о с е д с т в о в а т ь	б у д е т е с о с е д с т в о в а т ь	б у д е т е с о с е д с т в о в а т ь
ADJ NOM MASC SG г о р ь к о в с к и й	г о р ь к о в с к и й	г о р ь к о в с к и й
V.PTCP ACT PST з а п р а в л я т ь	з а п р а в л я в ш и й	з а п р а в л я в ш и й
N INS SG р ы б а к	р ы б а к о м	р ы б а к о м
ADJ ESS PL н е ж н ы й	н е ж н ы х	н е ж н ы х
V IMP 2 PL с т ы р и т ь	с т ы р ь т е	с т ы р е й т е
V.PTCP PASS PRS г р я з н и т ь	г р я з н и м ы й	г р я з н и м ы й
N ACC PL у д у ш ь е	у д у ш ь я	у д у ш ь я
ADJ ESS PL з а к л я т ы й	з а к л я т ы х	з а к л я т ы х
N ACC PL с с а к а	с с а к и	с с а к и
V PST SG NEUT у с о в е р ш е н с т в о в а т ь	у с о в е р ш е н с т в о в а л о	у с о в е р ш е н с т в о в а л о
V.PTCP ACT PRS п р и г л у ш а т ь	п р и г л у ш а ю щ и й	п р и г л у ш а ю щ и й
N NOM SG в ы в е с к а	в ы в е с к а	в ы в е с к а
ADJ ACC ANIM PL а т а я л ь с к и й	а т а я л ь с к и х	а т а я л ь с к и х
V.PTCP ACT PST в ы с в е ч и в а т ь	в ы с в е ч и в а в ш и й	в ы с в е ч и в а в ш и й
ADJ ESS NEUT SG п р о т и в н ы й	п р о т и в н о м	п р о т и в н о м
V PST SG MASC о б л и т ь	о б л и л	о б л и л
ADJ ESS NEUT SG г в а р д е й с к и й	г в а р д е й с к о м	г в а р д е й с к о м
ADJ INAN ACC MASC SG м е д н ы й	м е д н ы й	м е д н ы й
N ESS SG э н д ш п и л ь	э н д ш п и л е	э н д ш п и л е
N ESS SG з а п я с т ь е р у к и	з а п я с т ь е р у к и	з а п я с т ь е р у к е
N GEN PL в о р в з а к о н е	в о р о в в з а к о н е	в о р в з а к о н е н
N DAT SG к о ч а н	к о ч а н у	к о ч а н у
V NFIN п р о п л ы в а т ь	п р о п л ы в а т ь	п р о п л ы в а т ь
N NOM PL з о о ф и л и я	з о о ф и л и и	з о о ф и л и и
N NOM PL б л ю д е ч к о	б л ю д е ч к и	б л ю д е ч к и
V PST SG FEM п е с т р е т ь	п е с т р е л а	п е с т р е л а
ADJ ESS MASC SG я р к и й	я р к о м	я р к о м
ADJ PL LGSPEC1 у г л у б л ё н н ы й	у г л у б л е н ы	у г л у б л ё н н ы
ADJ ESS PL р а б о ч е - к р е с т ь я н с к и й	р а б о ч е - к р е с т ь я н с к и х	р а б о ч е - к р е с т ь я н с к и х
V PST PL у к у т ы в а т ь	у к у т ы в а л и	у к у т ы в а л и
N ACC SG п р о г у л к а	п р о г у л к у	п р о г у л к у
N NOM SG д в о ю р о д н ы й п р а в н у к	д в о ю р о д н ы й п р а в н у к	д в о ю р о д н ы й п р а в н у к
N INS SG б е с х а р а к т е р н о с т ь	б е с х а р а к т е р н о с т ь ю	б е с х а р а к т е р н о с т ь ю
V PST PL з а б и т ь с я	з а б и л и с ь	з а б и л и с ь
ADJ GEN FEM SG д о с т а т о ч н ы й	д о с т а т о ч н о й	д о с т а т о ч н о й
N DAT SG п р е н е б р е ж и т е л ь н о с т ь	п р е н е б р е ж и т е л ь н о с т и	п р е н е б р е ж и т е л ь н о с т и
N ESS PL т у ф е л ь к а	т у ф е л ь к а х	т у ф е л ь к а х
N ACC SG о в ч а р	о в ч а р а	о в ч а р
N NOM SG п н е в м а т и ч е с к о е р у ж ь ё	п н е в м а т и ч е с к о е р у ж ь ё	п н е в м а т и ч е с к о е р у ж ь ё р ь
V.PTCP ACT PRS о б ж и г а т ь	о б ж и г а ю щ и й	о б ж и г а ю щ и й
N ACC SG к о н ц е п т	к о н ц е п т	к о н ц е п т
N NOM SG к о н ф е р е н ц - з а л	к о н ф е р е н ц - з а л	к о н ф е р е н ц - з а л
N GEN SG ч е ч е н к а	ч е ч е н к и	ч е ч е н к и
N DAT PL п е н а	п е н а м	п е н а м
ADJ ESS NEUT SG а с к е т и ч н ы й	а с к е т и ч н о м	а с к е т и ч н о м
N NOM SG я з ы к о в о й к о д	я з ы к о в о й к о д	я з ы к о в о й к о д
N DAT PL п о в е с т к а	п о в е с т к а м	п о в е с т к а м
ADJ NOM PL а п о с т е р и о р н ы й	а п о с т е р и о р н ы е	а п о с т е р и о р н ы е
ADJ NOM MASC SG п о ч е ч н ы й	п о ч е ч н ы й	п о ч е ч н ы й
V FUT 2 PL п е р е к а т и т ь с я	п е р е к а т и т е с ь	п е р е к а т и т е с ь
N NOM SG в а й ш ь я	в а й ш ь я	в а й ш ь я
ADJ NOM MASC SG т р у с л и в ы й	т р у с л и в ы й	т р у с л и в ы й
N INS SG г е н е р а л - л е й т е н а н т	г е н е р а л - л е й т е н а н т о м	г е н е р а л - л е й т е н а н т о м
ADJ ESS MASC SG н е п р о и з в о л ь н ы й	н е п р о и з в о л ь н о м	н е п р о и з в о л ь н о м
V FUT 1 PL х а я т ь	б у д е м х а я т ь	б у д е м х а я т ь
V PRS 1 SG с о р и т ь	с о р ю	с о р ю
ADJ GEN PL л ь н я н о й	л ь н я н ы х	л ь н я н ы х
N ACC SG с о л о в е й к о	с о л о в е й к а	с о л о в е й к о
N ESS SG т р о ю р о д н ы й в н у к	т р о ю р о д н о м в н у к е	т р о ю р о д н о м в н у к е
V FUT 2 PL р а т о в а т ь	б у д е т е р а т о в а т ь	б у д е т е р а т о в а т ь
N GEN PL н о м и н а ц и я	н о м и н а ц и й	н о м и н а ц и й
V PRS 3 SG т р а в и т ь	т р а в и т	т р а в и т
V PST PL п о д б и р а т ь	п о д б и р а л и	п о д б и р а л и
ADJ DAT MASC SG р е з н о й	р е з н о м у	р е з н о м у
ADJ ANIM ACC MASC SG к о н ц е р т н ы й	к о н ц е р т н о г о	к о н ц е р т н о г о
ADJ ANIM ACC MASC SG н е о н а ц и с т с к и й	н е о н а ц и с т с к о г о	н е о н а ц и с т с к о г о
ADJ ACC INAN PL с л о в а р н ы й	с л о в а р н ы е	с л о в а р н ы е
ADJ GEN NEUT SG л е д о в и т ы й	л е д о в и т о г о	л е д о в и т о г о
V IMP 2 PL т в е р д е т ь	т в е р д е й т е	т в е р д е й т е
N GEN SG п о г р о м щ и ц а	п о г р о м щ и ц ы	п о г р о м щ и ц ы
N ACC PL т а р а б а р щ и н а	т а р а б а р щ и н ы	т а р а б а р щ и н
ADJ INS FEM SG п р и м е н и м ы й	п р и м е н и м о й	п р и м е н и м о й
V.PTCP ACT PRS п е ч а т а т ь с я	п е ч а т а ю щ и й с я	п е ч а т а ю щ и й с я
N ESS SG м е с т ь	м е с т и	м е с т е
ADJ DAT NEUT SG с м е ш а в ш и й с я	с м е ш а в ш е м у с я	с м е ш а в ш е м с я
V PST SG MASC п о с у л и т ь	п о с у л и л	п о с у л и л
N INS PL п р о г н о з и р о в а н и е	п р о г н о з и р о в а н и я м и	п р о г н о з и р о в а н и я м и
N DAT PL б е з ы с х о д н о с т ь	б е з ы с х о д н о с т я м	б е з ы с х о д н о с т я м
N INS PL с в я т е й ш е с т в о	с в я т е й ш е с т в а м и	с в я т е й ш е с т в а м и
ADJ MASC SG LGSPEC1 б е с п р и з о р н ы й	б е с п р и з о р е н	б е с п р и з о р е н
ADJ ESS MASC SG р е л и г и о з н ы й	р е л и г и о з н о м	р е л и г и о з н о м
ADJ ESS PL п о г и б ш и й	п о г и б ш и х	п о г и б ш и х
N DAT SG п о м о и	п о м о я м	п о м о и
V NFIN д о з н а т ь с я	д о з н а т ь с я	д о з н а т ь с я
N NOM SG р и т у а л	р и т у а л	р и т у а л
N GEN PL п а п и р о с а	п а п и р о с	п а п и р о с
N DAT PL т у р б о р е а к т и в н ы й д в и г а т е л ь	т у р б о р е а к т и в н ы м д в и г а т е л я м	т у р б о р е а к т и в н ы м д в и г а т е л я м
ADJ INS MASC SG с е н т и м е н т а л ь н ы й	с е н т и м е н т а л ь н ы м	с е н т и м е н т а л ь н ы м
V FUT 3 PL п е р е п и с ы в а т ь	б у д у т п е р е п и с ы в а т ь	б у д у т п е р е п и с ы в а т ь
N DAT SG п л а т е л ь щ и к	п л а т е л ь щ и к у	п л а т е л ь щ и к у
N ESS SG д о в е д е н и е	д о в е д е н и и	д о в е д е н и и
V.PTCP ACT PST о т м е н я т ь с я	о т м е н я в ш и й с я	о т м е н я в ш и й с я
V FUT 1 PL и з ж и в а т ь	б у д е м и з ж и в а т ь	б у д е м и з ж и в а т ь
V NFIN а н г л и з и р о в а т ь	а н г л и з и р о в а т ь	а н г л и з и р о в а т ь
N ACC ANIM SG с о в о к	с о в к а	с о в о к а
ADJ ANIM ACC MASC SG у д и в л ё н н ы й	у д и в л ё н н о г о	у д и в л ё н н о г о
N INS PL о п р о с н и к	о п р о с н и к а м и	о п р о с н и к а м и
ADJ ESS NEUT SG п р а в д и в ы й	п р а в д и в о м	п р а в д и в о м
N NOM SG к в а р к	к в а р к	к в а р к
ADJ DAT PL д е р е в я н и с т ы й	д е р е в я н и с т ы м	д е р е в я н и с т ы м
ADJ NOM MASC SG п р и м и т и в н ы й	п р и м и т и в н ы й	п р и м и т и в н ы й
N ACC PL а п о к о п а	а п о к о п ы	а п о к о п ы
V FUT 1 PL о т ы г р а т ь	о т ы г р а е м	о т ы г р а е м
N ESS SG к р е м и р о в а н и е	к р е м и р о в а н и и	к р е м и р о в а н и и
N INS SG м у с у л ь м а н с т в о	м у с у л ь м а н с т в о м	м у с у л ь м а н с т в о й
ADJ ACC FEM SG л и т р о в ы й	л и т р о в у ю	л и т р о в у ю
V.PTCP ACT PST п о м о р щ и т ь с я	п о м о р щ и в ш и й с я	п о м о р щ и в ш и й с я
V.CVB PST п л а к а т ь	п л а к а в	п л а к а в
V PRS 2 SG н а к и д ы в а т ь с я	н а к и д ы в а е ш ь с я	н а к и д ы в а е ш ь с я
V NFIN к о м к а т ь	к о м к а т ь	к о м к а т ь
V FUT 3 PL с к о л о т и т ь	с к о л о т я т	с к о л о т я т
V NFIN з а с в е ч и в а т ь с я	з а с в е ч и в а т ь с я	з а с в е ч и в а т ь с я
ADJ ESS MASC SG и с т и н н ы й	и с т и н н о м	и с т и н н о м
ADJ GEN PL д а л ь н е в о с т о ч н ы й	д а л ь н е в о с т о ч н ы х	д а л ь н е в о с т о ч н ы х
N NOM SG л а м п а д а	л а м п а д а	л а м п а д а
N ESS PL н е д е р ж а н и е м о ч и	н е д е р ж а н и я х м о ч и	н е д е р ж а н и я м о ч и я х
V PST PL с о д е в а т ь	с о д е в а л и	с о д е в а л и
V FUT 2 SG п р и к а т и т ь	п р и к а т и ш ь	п р и к а т и ш ь
N ACC SG б р а т ы н я	б р а т ы н ю	б р а т ы н ю
N ESS PL м г н о в е н и е	м г н о в е н и я х	м г н о в е н и я х
ADJ ACC NEUT SG н е о б ъ я с н и м ы й	н е о б ъ я с н и м о е	н е о б ъ я с н и м о е
N INS SG п о л и т к а т о р ж а н и н	п о л и т к а т о р ж а н и н о м	п о л и т к а т о р ж а н и н о м
V NFIN б л а г о у с т р о и т ь с я	б л а г о у с т р о и т ь с я	б л а г о у с т р о и т ь с я
ADJ ESS NEUT SG с п и р т н о й	с п и р т н о м	с п и р т н о м
ADJ GEN FEM SG н е л е г а л ь н ы й	н е л е г а л ь н о й	н е л е г а л ь н о й
V FUT 1 SG с о т р я с т и	с о т р я с у	с о т р я с у
ADJ INS PL п р и з ы в н о й	п р и з ы в н ы м и	п р и з ы в н ы м и
V NFIN п р о б е ж а т ь	п р о б е ж а т ь	п р о б е ж а т ь
V PRS 2 PL у п и в а т ь с я	у п и в а е т е с ь	у п и в а е т е с ь
V.PTCP ACT PRS о п а л я т ь	о п а л я ю щ и й	о п а л я ю щ и й
N INS PL т е м я	т е м е н а м и	т е м я м и
V PRS 3 PL з а п е в а т ь	з а п е в а ю т	з а п е в а ю т
V PRS 2 SG у в е р я т ь	у в е р я е ш ь	у в е р я е ш ь
ADJ ESS NEUT SG ф у т б о л ь н ы й	ф у т б о л ь н о м	ф у т б о л ь н о м
N DAT SG к р и к е т	к р и к е т у	к р и к е т у
V PST SG NEUT л и з а т ь	л и з а л о	л и з а л о
ADJ ESS MASC SG н е ж н ы й	н е ж н о м	н е ж н о м
ADJ INS PL з а г о р е л ы й	з а г о р е л ы м и	з а г о р е л ы м и
ADJ INS PL к о м о р с к и й	к о м о р с к и м и	к о м о р с к и м и
ADJ ANIM ACC MASC SG с к у д н ы й	с к у д н о г о	с к у д н о г о
N NOM SG т р а н с л и т е р а ц и я	т р а н с л и т е р а ц и я	т р а н с л и т е р а ц и я
N ESS SG а л е б а р д а	а л е б а р д е	а л е б а р д е
ADJ ANIM ACC MASC SG п р и в е т л и в ы й	п р и в е т л и в о г о	п р и в е т л и в о г о
N GEN PL р о д с т в е н н о с т ь	р о д с т в е н н о с т е й	р о д с т в е н н о с т е й
N GEN PL с т у п е н ь к а	с т у п е н е к	с т у п е н е к
V.PTCP ACT PRS з а д а в л и в а т ь	з а д а в л и в а ю щ и й	з а д а в л и в а ю щ и й
N GEN PL м о р с к о й л е в	м о р с к и х л ь в о в	м о р с к о г л е в
N GEN PL м и ф о л о г и я	м и ф о л о г и й	м и ф о л о г и й
V.PTCP ACT PST в з б о л т а т ь	в з б о л т а в ш и й	в з б о л т а в ш и й
V PST SG NEUT п р и г л у ш и т ь	п р и г л у ш и л о	п р и г л у ш и л о
ADJ ACC ANIM PL м о к ш а н с к и й	м о к ш а н с к и х	м о к ш а н с к и х
ADJ ACC FEM SG з а г р а н и ч н ы й	з а г р а н и ч н у ю	з а г р а н и ч н у ю
ADJ GEN PL н е с к л а д н ы й	н е с к л а д н ы х	н е с к л а д н ы х
N INS SG п р и ё м к а	п р и ё м к о й	п р и ё м к о й
ADJ INAN ACC MASC SG с л а б о у м н ы й	с л а б о у м н ы й	с л а б о у м н ы й
N INS SG я щ и к П а н д о р ы	я щ и к о м П а н д о р ы	я щ и к ъ а н д о р ы м
V PRS 3 SG п р о д и р а т ь	п р о д и р а е т	п р о д и р а е т
ADJ NOM PL н е м ы с л и м ы й	н е м ы с л и м ы е	н е м ы с л и м ы е
V NFIN в о с п и т а т ь с я	в о с п и т а т ь с я	в о с п и т а т ь с я
V.CVB PRS п р е р ы в а т ь с я	п р е р ы в а я с ь	п р е р ы в а я с ь
V FUT 2 SG в ы д ё р г и в а т ь	б у д е ш ь в ы д ё р г и в а т ь	б у д е ш ь в ы д ё р г и в а т ь
V FUT 3 SG в ы с т р а д а т ь	в ы с т р а д а е т	б у д е т в ы с т р а д а т ь
ADJ ACC ANIM PL м и л о с т и в ы й	м и л о с т и в ы х	м и л о с т и в ы х
V.CVB PRS п р и п а с а т ь	п р и п а с а я	п р и п а с а я
ADJ ACC INAN PL в е т х о з а в е т н ы й	в е т х о з а в е т н ы е	в е т х о з а в е т н ы е
ADJ DAT NEUT SG у с л у ж л и в ы й	у с л у ж л и в о м у	у с л у ж л и в о м у
V.CVB PST н а в е я т ь	н а в е я в	н а в е я в
V FUT 1 SG з а г у л и в а т ь	б у д у з а г у л и в а т ь	б у д у з а г у л и в а т ь
ADJ ACC ANIM PL а б и с с а л ь н ы й	а б и с с а л ь н ы х	а б и с с а л ь н ы х
ADJ NOM MASC SG д о в е р ч и в ы й	д о в е р ч и в ы й	д о в е р ч и в ы й
N INS PL р а й к о м	р а й к о м а м и	р а й к о м а м и
N INS PL с е м п л	с е м п л а м и	с е м п л а м и
N INS SG а р ш и н	а р ш и н о м	а р ш и н о м
ADJ ESS MASC SG в е л и ч а в ы й	в е л и ч а в о м	в е л и ч а в о м
N ACC SG с л а в я н к а	с л а в я н к у	с л а в я н к у
V PST SG NEUT д о к л а д ы в а т ь	д о к л а д ы в а л о	д о к л а д ы в а л о
V.CVB PST у т а щ и т ь	у т а щ и в	у т а щ и в
ADJ INS PL п е с ч а н ы й	п е с ч а н ы м и	п е с ч а н ы м и
ADJ DAT NEUT SG н а у ч н о - п р а к т и ч е с к и й	н а у ч н о - п р а к т и ч е с к о м у	н а у ч н о - п р а к т и ч е с к о м у
V IMP 2 SG з а г о в а р и в а т ь с я	з а г о в а р и в а й с я	з а г о в а р и в а й с я
V IMP 2 PL с о в е т о в а т ь с я	с о в е т у й т е с ь	с о в е т у й т е с ь
ADJ DAT NEUT SG п р о н и ц а т е л ь н ы й	п р о н и ц а т е л ь н о м у	п р о н и ц а т е л ь н о м у
N ESS SG г о р б ы л ё в ы е	г о р б ы л ё в ы х	г о р б ы л ё в ы х
N DAT PL т р е н и н г	т р е н и н г а м	т р е н и н г а м
N ESS SG в у л ь в а	в у л ь в е	в у л ь в е
V FUT 1 SG з а и г р ы в а т ь	б у д у з а и г р ы в а т ь	б у д у з а и г р ы в а т ь
V.PTCP ACT PST о т к л ю ч а т ь с я	о т к л ю ч а в ш и й с я	о т к л ю ч а в ш и й с я
V IMP 2 PL н а л а д и т ь	н а л а д ь т е	н а л а д ь т е
V.PTCP PASS PST п р и н у д и т ь	п р и н у ж д ё н н ы й	п р и н у д е н н ы й
